LSOA11CD,GridE100_mean,GridN100_mean,Count,Need_Mid,Need_High
E01028714,"447,749.16","194,252.00",58,0,0
E01028720,"437,381.08","187,104.07",119,0,0
E01028721,"439,584.65","190,356.65",17,0,0
E01028722,"440,121.58","189,843.50",52,0,0
E01028723,"440,377.20","190,533.98",46,0,0
E01028724,"439,910.72","189,973.55",29,0,0
E01028725,"439,708.65","189,775.26",23,0,0
E01028726,"441,900.10","195,010.80",90,0,0
E01028727,"448,856.80","190,303.77",66,0,0
E01028728,"449,213.07","189,095.90",30,0,0
E01028729,"448,804.50","185,920.31",36,0,0
E01028730,"444,486.20","188,214.62",79,0,0
E01028731,"446,383.60","191,109.60",35,0,0
E01028732,"447,602.41","191,181.92",39,0,0
E01028736,"440,102.37","198,095.49",65,0,0
E01028737,"438,511.85","196,205.77",53,0,0
E01028738,"448,173.64","198,565.25",36,0,0
E01028739,"445,600.57","197,273.62",47,0,0
E01028743,"452,301.26","199,582.03",35,0,0
E01028744,"452,119.00","199,461.33",40,0,0
E01028750,"447,832.00","200,507.83",24,0,0
E01028751,"449,551.88","200,649.59",17,0,0
E01028752,"446,873.48","200,930.37",27,0,0
E01028753,"449,752.15","192,813.35",20,0,0
E01028754,"450,993.56","193,718.10",48,0,0
E01028755,"440,683.37","188,142.74",43,0,0
E01028756,"439,799.06","187,978.92",79,0,0
E01028757,"440,131.95","187,238.39",38,0,0
E01028758,"440,585.30","188,535.83",30,0,0
E01028759,"438,959.14","188,113.29",28,0,0
E01028760,"439,416.87","188,343.80",30,0,0
E01028761,"439,678.65","188,717.87",23,0,0
E01028762,"425,627.67","205,818.47",30,0,0
E01028763,"426,936.00","214,501.00",1,0,0
E01028764,"431,619.88","203,078.91",69,0,0
E01028765,"429,388.03","202,728.81",72,0,0
E01028766,"428,472.45","209,841.02",97,0,0
E01028767,"425,248.15","212,089.95",93,0,0
E01028771,"427,749.83","206,845.58",36,0,0
E01028772,"427,763.92","208,088.30",37,0,0
E01028773,"428,067.90","206,266.26",39,0,0
E01028774,"428,340.96","206,722.56",27,0,0
E01028775,"427,613.75","206,231.07",28,0,0
E01028779,"438,199.50","217,418.50",4,0,0
E01028784,"434,793.84","207,759.73",79,0,0
E01028785,"443,339.73","209,659.89",37,0,0
E01028786,"442,853.16","209,645.00",25,0,0
E01028787,"441,102.25","209,306.84",55,0,0
E01028788,"444,211.46","210,042.18",68,0,0
E01028789,"441,689.14","214,267.05",37,0,0
E01028790,"442,448.87","213,583.65",23,0,0
E01028791,"441,197.32","212,948.12",34,0,0
E01028792,"435,735.58","212,553.15",33,0,0
E01028793,"432,849.43","214,006.80",56,0,0
E01028794,"431,307.42","210,749.58",31,0,0
E01028796,"424,472.40","230,264.90",10,0,0
E01028799,"438,887.17","213,314.05",65,0,0
E01028800,"440,711.65","205,389.65",48,0,0
E01028801,"434,860.88","203,290.71",49,0,0
E01028802,"440,367.67","203,090.25",51,0,0
E01028804,"439,985.09","216,710.35",55,0,0
E01028806,"444,990.67","225,516.00",9,0,0
E01028807,"435,472.87","210,082.08",61,0,0
E01028808,"434,818.89","210,202.05",37,0,0
E01028809,"434,332.87","209,868.90",31,1,0
E01028810,"436,552.20","209,271.67",15,0,0
E01028811,"436,541.24","209,713.16",25,0,0
E01028813,"435,639.96","210,963.57",23,0,0
E01028814,"435,717.97","210,608.03",33,0,0
E01028815,"436,263.72","210,842.12",25,0,0
E01028816,"434,778.76","209,217.95",21,0,0
E01028817,"434,491.35","209,161.54",26,0,0
E01028818,"435,428.10","209,429.33",51,0,0
E01028819,"435,101.51","209,512.54",41,0,0
E01028820,"433,810.40","210,006.60",20,0,0
E01028821,"434,071.39","209,549.83",18,0,0
E01028822,"434,120.11","209,110.05",19,0,0
E01028823,"444,455.78","216,863.84",50,0,0
E01028824,"444,931.40","217,068.81",47,0,0
E01028825,"444,769.02","215,676.73",55,0,0
E01028826,"378,354.00","304,100.75",4,0,0
E01028828,"376,387.85","286,771.63",59,0,0
E01028829,"376,307.55","284,571.89",38,0,0
